# ref   MM      
   3.011    2.992
   3.007    2.994
   3.145    3.161
   3.463    3.480
   3.904    3.896
   4.357    4.330
   4.701    4.688
   4.845    4.888
   4.844    4.881
   4.712    4.648
   4.244    4.210
   3.557    3.608
   2.912    2.923
   2.200    2.205
   1.513    1.479
   0.816    0.821
   0.272    0.302
   0.000    0.005
   0.065    0.000
   0.271    0.259
   0.788    0.824
   1.527    1.558
   2.457    2.363
   3.195    3.206
   3.895    3.952
   4.591    4.621
   5.216    5.188
   5.644    5.606
   5.850    5.819
   5.717    5.749
   5.360    5.441
   5.012    4.958
   4.440    4.405
   3.877    3.880
   3.413    3.450
   3.150    3.149
